# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YDR438W_YML018C
2.631595525985583328e-01 1.144906371910142662e-01 2.586235842266968454e-01 2.059556633174217943e-01 1.749111284619994933e-01 5.507224771088606863e-01 4.528207480183288780e+00 2.493033552003283138e+00 1.348075809520464241e-01 4.785376349713598709e-01 2.254699731095613391e+00 5.677870346840071525e-01 1.440637929662609951e+00 5.245555893080523502e-01 7.069583900091552797e-02 2.063319022960307780e+00 2.223740604116885011e-01 6.182842481330922402e-01 1.204533071917493481e-01 2.118456906501543224e-01 2.141345882308101634e-01 1.337799313867637840e+00 5.707627413643361347e-01 1.821718963094680399e+00 3.140815516391652906e+00 2.147341546605232854e-01 7.970386015805005497e-01 1.216672427933204848e+00 3.491437252791632639e-01 1.452375532391717294e-01 1.815291953241716383e-01 1.076420980992067955e+00
1.063567951604399708e-01 1.317522248210483138e-01 2.265695527368487561e-01 1.138953451518835980e-01 8.262455769127390048e-02 6.039909110712270435e-01 2.265901948023959278e+00 2.303269586580568351e+00 1.883384812630093663e-01 5.617973678584390340e-01 1.699974732462711469e+00 4.252808355638449389e-01 1.754088012445949918e+00 1.206735329886983843e+00 1.766928406784510075e-01 1.229236424555409268e+00 1.792731486580644573e-01 6.985574046964414530e-01 1.436311694635132308e-01 9.659282015860658210e-02 2.119184881785280972e-01 1.434698693034418771e+00 9.426826290916593409e-01 1.183003558485016038e+00 2.451962204390107480e+00 1.719427263615274926e-01 4.016016997228860075e-01 1.197111499480620234e+00 2.116990268444311485e-01 8.722535201915330993e-02 8.955432832631302076e-02 2.151769469608992846e+00
1.161450922439600381e-01 1.835236421484561786e-01 5.994863432698099848e-01 1.531751667262913064e-01 2.630488281616396029e-01 5.570794481158403144e-01 3.498592739701096743e+00 2.999011913900423210e+00 1.836624922893192180e-01 9.668311231758793811e-01 3.012185715509118289e+00 4.851352753757561254e-01 2.102708312340398678e+00 4.273346058187711960e-01 1.315471352771981073e-01 1.672170193161355067e+00 1.789665092945002534e-01 6.924657629461948849e-01 1.080903144988039633e-01 2.001479229489906975e-01 1.709038400330347707e-01 2.715708535111771127e+00 1.165742456696917673e+00 2.555445009499517361e+00 3.086672665429291307e+00 1.673824217794247782e-01 6.951344532329315484e-01 1.206922825625562412e+00 4.266419707312048004e-01 1.755761853082763169e-01 1.980586558237938388e-01 1.866909288460736338e+00
2.682424514829319373e-02 3.465994740516863820e-02 8.585669845284747692e-02 1.700451745048796380e-05 1.409994504609562820e-02 1.331013335219052851e-01 1.413948038892257342e-01 1.458489882683599859e-01 2.550538235975769938e-02 9.582102198334176146e-02 1.477731602484000928e-01 7.712757637911757391e-02 1.566513796413984694e-01 2.041892773867156827e-02 2.873567876920418013e-02 1.589474016774929110e-01 3.068601151282027151e-02 1.079445514162188369e-01 2.784934815908940431e-02 5.281191376519197414e-08 2.552374885315905964e-02 5.234113238019682396e-02 1.077673502263140071e-01 1.185427803184866818e-01 2.056327932984355622e-01 5.038993992142876827e-02 9.642819067734750837e-02 1.645405785508541330e-01 2.307820263134657823e-02 1.769587643288159269e-03 2.599483666828120154e-02 1.384884884177103315e-01
7.367770100398653155e-02 5.711952946555544364e-02 1.314624065989869750e-01 5.663525857671362906e-02 8.188235268766053121e-02 2.452005860406658022e-01 3.115209315089375042e-01 2.695754992318954435e-01 7.594812866888954461e-02 2.037185777019498434e-01 3.304904896596358443e-01 1.607167077511761355e-01 3.426010461333428569e-01 2.576751119484538832e-01 4.997183453890020888e-02 2.796475346770903037e-01 2.694361442251435104e-02 1.340444758798462199e-01 1.682570612816799288e-02 4.792243244652889117e-02 2.654142923797097112e-02 2.730168034413836819e-01 1.786786712741307570e-01 2.472879267330066466e-01 2.748520870231721536e-01 4.767757707712144688e-02 2.015363412412183308e-01 2.504947318956206592e-01 4.876434509626559333e-02 4.471554633515373300e-02 7.086029087200469700e-02 3.330102870876387455e-01
2.000987351031417033e-02 3.392407320965337703e-02 8.452512131914088900e-02 4.218443998838908383e-07 1.908350681620364295e-02 1.373539734732287798e-01 1.382265147177914322e-01 7.274995256922524300e-02 5.515358960828756554e-03 8.048151134499337278e-02 1.056561298279490579e-01 6.754444275667689790e-02 1.473521105063224368e-01 4.794776136604620570e-02 8.437470546198170759e-03 9.729882160371054745e-02 1.974551405179937949e-02 2.944308163641793166e-02 2.071932007138538312e-02 9.234455799084028044e-09 3.192976167510120505e-02 1.331917509527529575e-01 9.944906006042833480e-02 8.248145361530634379e-02 1.906218633334781365e-01 2.853784392615188112e-02 1.024829382751179935e-01 8.837313854416851966e-02 3.203323309427016236e-02 1.898527209827020196e-02 1.734323846254664028e-02 1.204175545620996823e-01
5.981870854843016061e-02 4.511646047312313501e-02 1.715797962700748858e-01 7.913612148181850547e-02 1.051607545061233606e-01 2.271326371763562335e-01 2.622862031883698708e-01 2.678758949617074392e-01 8.318107413350246671e-02 2.281708217792809690e-01 2.858469565267667822e-01 1.058676340010672456e-01 3.090678665011956650e-01 2.083116350179793352e-01 7.632340039591029024e-02 2.510393057512145254e-01 5.428290794122392349e-02 2.274241698097231312e-01 7.201687826375148538e-02 7.409689397697807878e-02 8.483172851199929920e-02 2.608088737667572099e-01 1.862329519601172989e-01 1.895903668305094214e-01 3.361644731450899592e-01 5.260840702903879507e-02 2.017730450501176442e-01 3.469264962191526136e-01 4.156761179603680328e-02 7.750410328622130141e-02 8.319183402332593069e-02 2.502307443350490490e-01
3.702561502671947950e-03 1.041610118468527975e-02 7.229429917783140869e-02 7.909968994481268029e-03 4.399051569002370571e-03 1.100699281076945729e-01 9.990071364500746620e-02 1.290014239265153406e-01 2.132995685438811295e-02 9.051914773246950985e-02 1.192682678310410666e-01 4.829321338602288877e-02 1.248955039989688293e-01 1.149543402216012394e-01 3.857880330893916597e-03 8.079407106010193240e-02 8.860811414949784290e-03 7.738943162509499818e-02 1.827512303380608716e-02 7.737693733169939171e-03 2.483919507039870217e-02 1.104436452484197362e-01 6.485655329673493952e-02 8.283787361970686158e-02 1.476030022746577519e-01 4.235468342628028425e-03 7.492996245854947890e-02 9.838104868493698085e-02 2.350964565620628291e-02 2.642598650550833164e-02 3.032567910077646825e-02 1.280630859317735959e-01
8.856744476937719601e-02 6.286741688834915354e-02 1.924071544592104166e-01 7.424138786809299229e-02 7.642208773224244689e-02 2.298295514701764741e-01 2.680750385853450934e-01 2.876408852524913184e-01 6.486211689350798726e-02 2.482617282409425308e-01 3.053716396203607908e-01 1.895860509883461331e-01 3.211485737265994955e-01 2.376045720724084820e-01 5.396797428423676102e-02 2.714371181849326575e-01 4.224226380585975604e-02 1.821022926803934072e-01 5.454096534637305205e-02 5.910392496308783383e-02 5.633990050865113342e-02 2.474935139669043327e-01 2.233417647677465034e-01 2.480225169346610414e-01 4.233507634817007537e-01 6.000536785627792746e-02 1.995499619984420492e-01 3.354700580041534708e-01 4.861151514358079406e-02 5.787458437241670139e-02 2.982556232353429301e-02 2.495701472689184908e-01
4.122474868343873472e-02 5.147755309014786368e-02 9.185538136383014640e-02 3.696621418488249544e-02 6.265398913107389500e-02 1.286339786988893175e-01 2.134859339404014122e-01 2.243804495557582823e-01 3.973424837832145728e-02 1.612571729267759379e-01 2.018573243848707788e-01 1.195647538553430006e-01 1.770830609324055560e-01 1.497275461832772714e-01 2.924147132681377201e-02 1.615646381079818006e-01 2.646147572739296003e-02 1.510474159622621770e-01 1.715924205117367110e-02 5.365378240645218150e-02 5.779517236626791066e-02 1.881098967870860894e-01 1.451882007626480175e-01 1.915284818699499736e-01 2.724321443621551264e-01 5.210685846823884942e-02 1.346994983478601027e-01 2.208331573076812437e-01 4.195809684817473906e-02 3.490451000606074883e-02 1.062990744453199202e-02 2.102970390490002672e-01
3.721407187495055086e-02 3.905306460461882567e-02 8.974274164501019890e-02 1.948529576852289433e-02 6.685849582639091793e-02 1.156335427420884937e-01 9.198867500694990484e-02 7.535784921841869044e-02 1.031864745763870668e-02 1.204630745596374092e-01 1.603250868835483234e-01 9.215525756290812720e-02 1.010274488249791602e-01 1.048517317218511796e-01 3.338226567119678689e-02 1.051337179055509552e-01 3.787080999403213966e-02 1.072218494613577239e-01 1.892551971167666727e-02 1.204342147804887166e-02 2.185766559947059304e-02 1.096040167536975890e-01 1.108535540581618850e-01 6.664212653677505094e-02 1.768445969561860953e-01 2.520245192176400265e-02 9.342584536693143704e-02 1.217177700254698791e-01 2.963415198039388854e-02 1.425904575054748671e-02 2.742823067608728821e-02 1.334377621306454820e-01
# length ll pi_a pi_c pi_g pi_t kappa omega tau (N0,N1) (N0,kluyveri) (N1,N2) (N1,castellii) (N2,N3) (N2,bayanus) (N3,N4) (N3,kudriavzevii) (N4,N5) (N4,mikatae) (N5,cerevisiae) (N5,paradoxus)
