# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
2.535779535845469557e+00 1.517708435622366014e+00 5.709887002707633163e-01 3.025763626109663651e+00 2.011380492143580057e+00 1.616746024436637730e-01 1.880333461168322839e-01 7.101761935671015158e-02 1.125309365673374362e+00 8.427647104948932100e-02 4.784236715243770505e-02 3.248225235541695177e-01 7.226973879438199078e-02 8.149955098037556245e-02 3.746352879319741369e+00 1.742067334478919483e-01 1.872750936706674141e+00 3.184539274859224389e-01 3.623548386678875577e+00 7.193228870422792021e+00 1.451739009732836871e+00 1.183673549136738529e-01 1.110270879762311480e-01 1.948970526503209233e-01 1.851962600549838731e-02 3.101798350997407638e+00 1.009519407939613700e+00 7.036519203253321919e-02 6.849625118590511874e-02 3.970482708858852128e+00 4.005695497634431668e+00 4.234943275208880920e+00 3.378074206272161512e-02 3.058347088673259509e-02
1.989049521039208734e+00 1.038062858370200070e+00 4.718180406101212254e-01 4.015192828562453187e+00 2.362948528210404131e+00 1.762231435444989447e-01 1.821118444987561424e-01 6.945654735165882054e-02 1.375521304641207809e+00 9.265566359415121356e-02 4.933438368593083545e-02 4.014473781878517555e-01 6.773365635514629057e-02 1.241958342990558545e-01 2.858889062219410970e+00 1.653434413052970176e-01 1.412507860013265226e+00 3.532225814451898649e-01 3.015224002332520303e+00 5.265149953694746365e+00 1.066121072684493409e+00 1.006202983436990384e-01 1.114444189820426034e-01 1.791615135853069085e-01 1.729258586234779654e-02 2.959921496646731764e+00 8.084087518701116304e-01 6.463458959658710534e-02 6.993001181589000859e-02 2.570089841557682941e+00 4.677187531584136693e+00 3.720184462123615088e+00 3.300355927173183324e-02 3.285461096233395495e-02
1.124227428762488490e+00 1.153750202677860548e+00 4.926719522479279245e-01 2.667949039001409783e+00 3.267641533776320273e+00 1.485199716693176575e-01 1.519633671278576292e-01 3.705892124874121674e-02 1.457047395762313124e+00 4.711748023295489474e-02 4.103281033092469332e-02 3.209973806719088052e-01 6.520811720775847309e-02 8.750693317040397767e-02 1.948529362453305325e+00 1.321562730801745800e-01 1.340302335418415813e+00 2.290284664472475029e-01 4.196831579768392828e+00 5.364513544416973367e+00 1.585196960878994643e+00 8.946236867484780309e-02 1.059340844913932156e-01 1.704846436577035218e-01 1.415345280329856521e-02 2.291691439082729431e+00 9.226072733589045782e-01 5.321850560295762755e-02 4.849615662679617606e-02 2.071504637087628886e+00 5.094978696415563668e+00 4.470461450749226628e+00 2.478922587568490113e-02 2.052449395548103239e-02
1.366166479635831266e+00 1.152658234750012722e+00 4.017541862626242688e-01 3.800007918044749022e+00 2.795625081857184391e+00 1.277307657603511670e-01 1.431936603544465003e-01 6.495260904430764926e-02 1.265251075683009541e+00 5.539048471350062341e-02 4.074533738126955712e-02 2.479152533756430743e-01 4.921531306198263095e-02 5.189986608901380610e-02 4.773219281745406661e+00 1.581855174606309200e-01 2.497794328809081144e+00 2.649676117934146036e-01 3.760469270370370598e+00 1.116556478402145025e+01 1.363883707771752274e+00 1.115443282151677151e-01 1.045538289447179442e-01 1.550773297808168139e-01 1.031626591448181647e-02 4.808962462127619020e+00 9.956112883952262793e-01 5.121631845164895808e-02 5.597270577884996129e-02 5.690893018678908177e+00 6.853070606937720299e+00 5.323859062905806461e+00 2.379305622825943559e-02 2.196908480496757160e-02
1.144773573600227135e+00 1.087185236835928714e+00 4.829459222458528656e-01 1.231743874230531111e+00 1.578228808892628177e+00 1.348977375727728190e-01 1.160095941730126118e-01 4.919699569942757866e-02 1.535642599663606278e+00 5.577493233472460843e-02 4.465155057927865101e-02 3.490241150760052258e-01 6.407227080381558415e-02 1.115572899457862172e-01 3.170950932345294238e+00 1.171084263074099324e-01 1.972026650376943024e+00 3.228569527977050435e-01 5.063069067737715478e+00 5.698894754838340404e+00 1.352593625975031078e+00 8.239508692871126694e-02 9.830859134393314658e-02 1.376070911169085809e-01 1.307231280081250051e-02 1.966352404694078349e+00 8.959216123686216671e-01 4.073048951674299728e-02 4.135236038446984258e-02 2.897075838157479488e+00 4.825809250048233245e+00 6.498530646998546878e+00 1.791485148933543228e-02 1.579709817303524139e-02
6.257911168217301645e-01 9.878868746879434504e-01 5.088872322024150519e-01 3.486773391020601576e+00 2.078835599066968243e+00 1.066225807624005401e-01 1.379590927612352191e-01 4.789398543938005320e-02 7.900269316788701701e-01 4.995200054301177778e-02 4.042998709030404259e-02 3.525919006343475326e-01 5.209856202151093990e-02 4.440634172240170985e-02 2.049097059541123311e+00 1.325733884277409680e-01 8.236562146899799597e-01 2.321595658428943776e-01 2.661247342409037486e+00 4.140062535702627500e+00 1.213661088152833800e+00 7.291534676912007906e-02 8.601985406211309915e-02 1.529589213553799731e-01 1.663904444527873616e-02 2.236287571047503864e+00 8.058378320720710475e-01 4.461269630747684983e-02 4.440951817187942935e-02 1.045903180755366479e+00 5.598243773401565981e+00 2.325381225460191992e+00 1.893903924688261631e-02 1.610339040246390810e-02
2.288532759909386094e+00 1.099302197971534278e+00 4.876498426239541106e-01 3.403021137544486763e+00 1.696908186866958879e+00 1.126495242299233313e-01 9.160354514358547140e-02 4.424764241475335341e-02 1.004678397719715788e+00 5.448701223581824127e-02 5.297614803049288668e-02 2.702296793060713909e-01 4.064228256858631178e-02 5.309749912095206026e-02 2.226780771231811062e+00 1.289115856891704381e-01 3.328642930824009749e+00 2.933631881802223340e-01 3.534070786254126517e+00 1.183440246605972135e+01 1.881588258310868289e+00 7.930211640316127408e-02 7.406394955428838300e-02 1.242706155863004952e-01 1.391109638458810742e-02 3.045540784921660471e+00 8.799004759442173862e-01 4.060321770063542862e-02 3.385009391890434621e-02 1.404210705930762249e+00 5.782779961968099514e+00 1.054357174524421836e+01 2.178552057116116270e-02 1.641173604825503854e-02
1.647625092278865333e+00 1.421489242692069999e+00 4.334593179638035476e-01 3.177186778109208909e+00 1.406789669390583253e+00 1.257378883222758925e-01 1.504717824481087984e-01 5.579606283773559661e-02 6.952323098475157170e-01 5.577196875406405935e-02 4.480699400572294572e-02 3.889304220912966903e-01 5.611204061608836280e-02 6.787760127956433964e-02 2.632725402093582190e+00 1.294426098031778716e-01 1.901078918439441434e+00 2.827379400691847344e-01 5.112989299481757399e+00 9.795459049684991371e+00 1.136858317821342279e+00 8.355493299753870284e-02 9.338836244979918655e-02 1.200678370097404690e-01 1.279025465446430136e-02 1.472116163968317348e+00 7.986440721541643306e-01 4.151539462287687915e-02 5.136003530801702688e-02 2.117147146738330488e+00 3.651197816124411855e+00 3.778875980170732340e+00 1.961221485919659863e-02 1.876925299314011197e-02
1.352022694981162454e+00 2.166037590507773114e+00 5.062437372690041792e-01 4.393372516424528307e+00 4.272810884996538050e+00 1.715141147982390812e-01 9.939960181548916640e-02 6.909874587065345519e-02 7.492254654760854837e-01 5.973694707708199908e-02 5.728122730467220119e-02 2.921933693494482287e-01 5.461722815674815296e-02 7.755289405553331128e-02 3.541661361353536375e+00 1.151524755622566343e-01 1.647594604834177856e+00 2.817548412937765367e-01 2.516075620319285111e+00 8.147785732381635171e+00 1.869875518648297597e+00 7.446220741668467535e-02 1.119808503859623383e-01 1.618610197472392931e-01 9.609331226612411597e-03 3.578612731749932774e+00 1.007044737637957654e+00 4.500865652587506677e-02 4.945528044317441113e-02 2.745064234669644332e+00 2.839098117788560138e+00 1.447382956309155233e+01 2.559573807465525749e-02 1.303034287500971430e-02
1.806409094176240293e+00 6.943044725490008506e-01 4.019886550212043441e-01 3.204979475446836368e+00 1.231135613227661629e+00 1.195150606556364958e-01 1.875197598082521677e-01 3.642549137304789547e-02 8.846951403564391470e-01 5.051521474780558407e-02 3.959552086130610493e-02 2.998982962575065803e-01 3.312747585818325707e-02 7.868811052763864666e-02 4.149014435490523844e+00 1.253224069193967505e-01 2.005146086786765647e+00 2.453834964154901488e-01 4.798139270255380673e+00 1.492010580843371592e+01 1.256414694726142756e+00 8.898627431272979060e-02 7.973694913836021358e-02 1.323006938201471694e-01 1.275235067350393228e-02 2.060738739265256747e+00 7.209058315765163316e-01 4.320569303270353767e-02 4.108478500419009138e-02 1.386974055293732189e+00 5.357055534964569432e+00 6.102138509164836577e+00 2.407496914862073192e-02 2.027540352988005737e-02
# length ll pi_a pi_c pi_g pi_t kappa omega tau (N0,N1) (N0,kluyveri) (N1,N2) (N1,castellii) (N2,N3) (N2,bayanus) (N3,N4) (N3,kudriavzevii) (N4,N5) (N4,mikatae) (N5,cerevisiae) (N5,paradoxus) (N0,N1,tau) (N0,kluyveri,tau) (N1,N2,tau) (N1,castellii,tau) (N2,N3,tau) (N2,bayanus,tau) (N3,N4,tau) (N3,kudriavzevii,tau) (N4,N5,tau) (N4,mikatae,tau) (N5,cerevisiae,tau) (N5,paradoxus,tau)
