# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YDR099W_YER177W YMR143W_YDL083C YJL177W_YKL180W YJR048W_YEL039C YBR191W_YPL079W YDR418W_YEL054C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
1.146834896905857964e-02 9.406164842410358329e-03 3.927945080015089047e-02 1.605034971317579814e-02 8.829690559949195799e-03 9.500029479996566217e-02 9.649079475109652304e-02 2.940007179280738903e-02 1.456258779565218660e-02 8.549924618938681276e-02 5.800733169121072980e-02 7.540290131058985552e-03 7.590245267310808709e-03 6.205133651666015077e-02 2.019059886308424354e-02 1.909261440145839164e-02 8.167693909899882698e-02 1.469892240636380687e-02 8.022559770018289002e-03 7.277727286767135539e-02 1.445313091334498624e-02 2.387409909227529783e-02 1.409280244298896818e-02 1.481271836552365204e-02
5.518049527964288825e-02 5.151797190343627986e-02 1.112115718287936955e-01 5.418951217333038695e-02 7.204609093991642954e-02 2.106796244863432255e-01 2.520587330068199128e-01 5.794364018011147893e-02 6.913734693375216123e-02 2.214177046263168802e-01 1.534215138104064180e-01 3.542453453087018866e-02 3.721755319391233108e-02 1.850571742387305818e-01 3.833671502029911693e-02 5.532406449962760236e-02 2.115377436592756621e-01 6.923660285966838634e-02 4.649334140324628412e-02 1.847309227584303382e-01 6.903355563745680601e-02 4.226864218566867698e-02 6.781428082350988984e-02 6.986872678414747517e-02
4.371214631058432248e-02 4.211180706102592153e-02 7.193212102864281199e-02 3.813916246015458533e-02 6.321640037996723027e-02 1.156793296863775633e-01 1.555679382557234036e-01 2.854356838730407603e-02 5.457475913809998330e-02 1.359184584369300952e-01 9.541418211919565351e-02 2.788424439981120745e-02 2.962730792660152324e-02 1.230058377220704380e-01 1.814611615721486645e-02 3.623145009816922113e-02 1.298608045602768490e-01 5.453768045330460723e-02 3.847078163322799338e-02 1.119536498907590105e-01 5.458042472411180762e-02 1.839454309339337915e-02 5.372147838052091645e-02 5.505600841862381967e-02
4.371214631058432248e-02 4.211180706102592153e-02 7.193212102864281199e-02 3.813916246015458533e-02 6.321640037996723027e-02 1.156793296863775633e-01 1.555679382557234036e-01 2.854356838730407603e-02 5.457475913809998330e-02 1.359184584369300952e-01 9.541418211919565351e-02 2.788424439981120745e-02 2.962730792660152324e-02 1.230058377220704380e-01 1.814611615721486645e-02 3.623145009816922113e-02 1.298608045602768490e-01 5.453768045330460723e-02 3.847078163322799338e-02 1.119536498907590105e-01 5.458042472411180762e-02 1.839454309339337915e-02 5.372147838052091645e-02 5.505600841862381967e-02
1.396198260322565998e+00 8.660525241673888708e-01 1.355088109291421539e+00 2.816166193533904405e+00 2.206886201161336380e+00 1.375871020381424226e-01 2.506369977065265320e-01 7.178666708812170283e-01 6.141038249071156807e-01 4.081335093156071570e-02 3.419889324585145274e-01 2.566741289648844848e+00 1.519176163502433230e+00 3.036471662937738070e-01 2.946805360818830710e+00 9.833400285799376306e-01 2.157054510049209173e-01 6.220528500535508210e-01 2.317879096224084279e+00 9.406985277127252187e-01 5.558095583564662823e-01 3.231199229509152726e+00 5.311442442760883065e-01 5.126976520590197373e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.627677782230659176e+00 1.441562861612403434e+00 1.203770625245804471e+00 3.095107454127326907e+00 2.251113925968967866e+00 1.486215830391270920e-01 1.873687313260365417e-01 9.267467755389432460e-01 9.029642271086767424e-01 3.613619578937397880e-02 3.318031928409412301e-01 4.223182623393908486e+00 1.835606925648586074e+00 3.218247143971172397e-01 4.031968519138791507e+00 1.573933712986908429e+00 1.856227325197824796e-01 1.061355389677041572e+00 3.009406500864289402e+00 9.897095032832087247e-01 1.099788494519638116e+00 4.114704187087097509e+00 9.486796846986802478e-01 8.196223088128830048e-01
2.047249975105263964e+00 9.503129490446701189e-01 1.065809933014477684e+00 4.112231979167234819e+00 2.789056900424446539e+00 1.688277917779447135e-01 1.848373308269595783e-01 1.213406027979306634e+00 1.202006901390974658e+00 3.822254667262017097e-02 4.207461159258277794e-01 3.169292777971380204e+00 1.656380547788371960e+00 3.715923248186718264e-01 3.153431737889927255e+00 1.112724621689908044e+00 1.717466248644665405e-01 1.012960692232831361e+00 2.996164719785235686e+00 8.082677217082271381e-01 1.053185849863268020e+00 3.768553324214180211e+00 9.712657378248976681e-01 9.438314934751635965e-01
9.998437266461194239e-01 9.731719508227265614e-01 8.134237218118630652e-01 2.611247362460395571e+00 3.454512239062855539e+00 1.363926423600699822e-01 1.522376417150034800e-01 1.444901146095828315e+00 3.892703690161848362e-01 2.905833733089435364e-02 3.199445297337492611e-01 1.653544858875491741e+00 1.940560770062569107e+00 2.178524617119710904e-01 4.573822396726838768e+00 1.979179296327192361e+00 1.649960383770500416e-01 4.018546863756130572e-01 2.253729374263474305e+00 9.273558477450597470e-01 5.070182196511233697e-01 4.528839803112068907e+00 4.862679934085350486e-01 2.850757766832960338e-01
1.419078722347554944e+00 1.091786130027147861e+00 9.123774260029320349e-01 3.803269343797443636e+00 2.825944847823582684e+00 1.187032552213310027e-01 1.442695477154114225e-01 1.123850847304102674e+00 5.035336109947217142e-01 3.241825496308277377e-02 2.670275686581211616e-01 4.714079290666393973e+00 2.195287477034728152e+00 2.869471699817000010e-01 3.033581515816432539e+00 9.524265645075660203e-01 1.433318854818382559e-01 5.341554978836037249e-01 4.363542358533546661e+00 9.680389700682663356e-01 6.833562231395235997e-01 4.951536491590062816e+00 5.330391004114032327e-01 4.852651210107353785e-01
1.064061053737456852e+00 1.414534578676886367e+00 9.959434023973481320e-01 1.281954904860679312e+00 1.750430347675497211e+00 1.270916125063787372e-01 1.083296817236422821e-01 1.237134993551449291e+00 7.533665703556332582e-01 3.744977710978816127e-02 4.127418402433642441e-01 3.792724282445392614e+00 2.559379514898452168e+00 3.417870651518576941e-01 5.961548651417993838e+00 1.341552114129590523e+00 1.324433725947570528e-01 9.893822958948643720e-01 2.080658764729759636e+00 9.503459911311545882e-01 6.571008294951656836e-01 6.265983638999480299e+00 4.132802051441228364e-01 5.088607118608363677e-01
6.580684906264522294e-01 7.977954113948394488e-01 1.090754164400923987e+00 4.562173311460297143e+00 2.426483745891972799e+00 9.729481535222349320e-02 1.372857137462074051e-01 7.389401903805760119e-01 5.286661867901540912e-01 3.038028248196000120e-02 3.093944089252643193e-01 2.632254594966519257e+00 8.811867502359311821e-01 2.456231562799714441e-01 3.120693486001866468e+00 1.272719269005707643e+00 1.387132577817792589e-01 7.964105023209000489e-01 2.245475632603511684e+00 7.966720858629994240e-01 6.203360441979672846e-01 2.402076288166723472e+00 5.254186921546974975e-01 4.643975540281292114e-01
1.853238150903918857e+00 1.217184770555270079e+00 1.207386679520431993e+00 2.822082020190798346e+00 1.883430209368421648e+00 1.076681172854925400e-01 8.930899605863086566e-02 7.377629597665988914e-01 7.603389134456215448e-01 4.691541980648224891e-02 2.928713644445773978e-01 2.680130407850426888e+00 3.857363608461393589e+00 3.186878203882790306e-01 3.782090944937121169e+00 2.082153678213928938e+00 1.256269903831205847e-01 1.457749720573480179e+00 3.158268375045994336e+00 9.195621661736862462e-01 9.177099098665499888e-01 1.113094218949678194e+01 7.443021183666425067e-01 7.043816946081599140e-01
2.290045142469733896e+00 1.642241075560824548e+00 1.106495390871875761e+00 3.887531962734085855e+00 1.518028772667384452e+00 1.230201100277212717e-01 1.610222610067056359e-01 6.668770371408108133e-01 7.044810027205923308e-01 3.801879944335116723e-02 4.524717125019814823e-01 3.618214616876461953e+00 2.208129080256769683e+00 2.909706436574338029e-01 6.697233318433162275e+00 1.120886516205190198e+00 1.220330123238276970e-01 9.108208152579669870e-01 1.575047696949646081e+00 8.245933896475433622e-01 7.311793619820238233e-01 3.419085179338805958e+00 6.111309589293536515e-01 5.800805802565653924e-01
1.316207994211581633e+00 2.474277062445374487e+00 1.094835109381343763e+00 4.129297035663359594e+00 4.547156188042910330e+00 1.729931647360459790e-01 1.075220302486455948e-01 7.360484106230196222e-01 5.695795994617770530e-01 5.106362865466835405e-02 3.576820238771157290e-01 3.896765123779345252e+00 1.604837300907429931e+00 3.274137872877251332e-01 2.485226258138931055e+00 2.487082830462392646e+00 1.843502028215227018e-01 6.957338320735745318e-01 4.342909514307572216e+00 1.087878492604944292e+00 7.231013641351700105e-01 1.092928441201207512e+01 7.579538679919544109e-01 4.177451347337964305e-01
1.653052624238252610e+00 6.711764763787139154e-01 9.026372800943801566e-01 2.289253661584070176e+00 1.349352641521801122e+00 1.129122202800485197e-01 1.525931849783696559e-01 6.291652067045567787e-01 5.439318902738160544e-01 2.963527958751835736e-02 2.689518893642924846e-01 5.138704966298655030e+00 2.546756492038628306e+00 2.425053924371813052e-01 4.922567997528238593e+00 1.023101575163735344e+00 1.084529885375285913e-01 7.609263541334980729e-01 1.716211496437845430e+00 7.019005410097489683e-01 5.919873090706713192e-01 8.435327115764684081e+00 7.867366166173445086e-01 4.401614927660598697e-01
# length ll pi_a pi_c pi_g pi_t kappa omega tau (N0,N1) (N0,kluyveri) (N1,N2) (N1,castellii) (N2,N3) (N2,bayanus) (N3,N4) (N3,kudriavzevii) (N4,N5) (N4,mikatae) (N5,cerevisiae) (N5,paradoxus) (N0,N1,tau) (N0,kluyveri,tau) (N1,N2,tau) (N1,castellii,tau) (N2,N3,tau) (N2,bayanus,tau) (N3,N4,tau) (N3,kudriavzevii,tau) (N4,N5,tau) (N4,mikatae,tau) (N5,cerevisiae,tau) (N5,paradoxus,tau)
