# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
2.696222351118340299e-01 1.685102550580607206e-01 3.583703045279980626e-01 2.196502234278774612e-01 6.021141643699188251e-01 5.782447736107114267e+00 2.657594926179399408e+00 2.302999899702647957e-01 1.630210211828319045e+00 5.159234062416091504e-01 2.506648414332642183e+00 6.873457255756670881e-01 1.569288349050722564e+00 5.843138453841700830e-01 9.096178157466074110e-02 2.027416784802122063e+00 2.436370506382352918e-01 1.436222750346985322e+00 5.662537630551023327e-01 1.427998085456775035e-01 2.581594013173229007e-01 2.243662894697756871e-01 1.468809467095268495e+00 6.189461104912259426e-01 2.097089470675038925e+00 3.248876850361448465e+00 2.482587376858203521e-01 1.081540155927295910e+00 3.175895540602355016e+00 1.228077637384781706e+00 5.340888836225828884e-01 2.362692638716697435e-01 2.471923793577550377e-01 3.702346468711573024e+00 1.157519829464797256e+00
9.085737906259912233e-02 1.239294506970043674e-01 1.833169764988095418e-01 5.119172141258435810e-02 5.759661694432757217e-01 2.720848240875829660e+00 2.582454377566726578e+00 1.810616388885604722e-01 2.434296391822036831e+00 5.704625273053226531e-01 1.754148943541064432e+00 4.484931051994310858e-01 1.886888976672359552e+00 1.217913095278362334e+00 1.270838410990350609e-01 1.130364015119367016e+00 1.637398982439377260e-01 1.557516548613806062e+00 6.380628947904531945e-01 1.479463827908324702e-01 4.390297616273149128e-02 2.015099911887662520e-01 1.370379415138569090e+00 8.887035869923020082e-01 1.111479864298481779e+00 2.507680107205653375e+00 1.307421608916989886e-01 1.482147990352795097e-01 2.869739247812451044e+00 1.136651496528208627e+00 4.753013694754881086e-02 1.011333533576418836e-01 7.866204150903653713e-02 2.124795415790501352e+00 2.140994999760128970e+00
1.350987470624925302e-01 2.139464188015971768e-01 6.857917029818426657e-01 2.731292142411240742e-01 5.640815158293123188e-01 4.238098782610860482e+00 3.128414531180989666e+00 2.424613366177254814e-01 2.154338060930325316e+00 9.593091618741319548e-01 2.970766880447372582e+00 4.356262890432056611e-01 2.257339248881959914e+00 4.029967615317543994e-01 1.286529956823820597e-01 1.685414057570976842e+00 1.800886730576277406e-01 1.840523686492890887e+00 6.333881608363539639e-01 1.381545764683101141e-01 2.811388491006540646e-01 1.848884183025835959e-01 2.704494879587396650e+00 1.107278034933179667e+00 2.356385606079348438e+00 3.101618077615476476e+00 1.732762211441286337e-01 8.765064071890315001e-01 3.357385927472488429e+00 1.189589368975962680e+00 5.353014192181988484e-01 1.938007726577377354e-01 2.412341313878157145e-01 2.797854945375451319e+00 1.733581790770265085e+00
3.049872673701044257e-02 4.793168710920543002e-02 7.921693180322145200e-02 1.790256614338750843e-02 1.278120183278398103e-01 1.767461065135884635e-01 1.285996005564908895e-01 3.099055724766244801e-02 1.418240413784003784e-01 1.055113745004538361e-01 1.578055372716359872e-01 8.351105826542115640e-02 1.256316748685694373e-01 4.230614763902235120e-02 4.180504757637076851e-02 1.750275768848120750e-01 3.912850948377321475e-02 1.948214535855556928e-01 1.393465757639384128e-01 3.387813420145394105e-02 3.408435740944943813e-07 2.419594963388250336e-02 8.554165118116560662e-02 1.067689852666206529e-01 1.241179109387616913e-01 2.105451998445334316e-01 6.412439274340960005e-02 8.511717778658473010e-02 1.910013955795935026e-01 1.785260059076811123e-01 3.277640142852924349e-02 1.182639560510398077e-02 4.015248200072591561e-02 2.431291811958666560e-01 1.431295048303941608e-01
8.104709899810223772e-02 6.614248777515030486e-02 1.691585111730111446e-01 1.072646149589227133e-01 2.730646110869081045e-01 3.334225760280978279e-01 2.916970140743062045e-01 1.108261083147361881e-01 3.150190216104868379e-01 1.939733994028225716e-01 3.074193763979782279e-01 1.971959126299225040e-01 3.579353411519064498e-01 2.559220711649063951e-01 5.234793715045845536e-02 2.886962449055353042e-01 3.631533864356585595e-02 4.104189308960338178e-01 1.385725178335236174e-01 3.217396771367676128e-02 5.442702148697640963e-02 4.910909497163102461e-02 2.633944515620270099e-01 1.947994940674662445e-01 2.693510437132047297e-01 2.804015021522523465e-01 5.220231551904516015e-02 2.403952584149867400e-01 3.061905656670951825e-01 2.727470681369829619e-01 3.454684230404553302e-02 5.234149523685540512e-02 1.071348761615278783e-01 3.306660951932967052e-01 3.548564371935559736e-01
2.102050191871533344e-02 4.100501567286050225e-02 9.420946362162339882e-02 1.070516322231779976e-02 1.438254622228272717e-01 1.560819072501831717e-01 9.132939858595538751e-02 7.326960807812867363e-03 1.346832895038831968e-01 7.767315663341907428e-02 1.185159549560649006e-01 7.300761400328885375e-02 1.584644464222749183e-01 4.880298243311469164e-02 1.061281227379252956e-02 1.023958808563491252e-01 2.498310270820374573e-02 1.897748805835687835e-01 3.647447490276007481e-02 3.052692324156394341e-02 5.855113963073003189e-09 3.658176864245750448e-02 1.505243688636383748e-01 1.033789570496614907e-01 1.053294388797845482e-01 1.937221136679535549e-01 3.061707877506999326e-02 1.164636197536830370e-01 1.163272391865637634e-01 8.116027929668909180e-02 3.252971892445155611e-02 2.809681034767390340e-02 1.973616177088504883e-02 1.104771259172641212e-01 1.436366673103532388e-01
8.519545260917958662e-02 5.716042481599205999e-02 2.005244840629153147e-01 1.241870320463294569e-01 2.442930315181834067e-01 2.816801714453562311e-01 2.697758896697516340e-01 9.794488698807535254e-02 2.627266038703570117e-01 2.389983545266145815e-01 3.171483624133112911e-01 1.201529802050717854e-01 3.013238376225321202e-01 2.118788114816357593e-01 1.134325157799768308e-01 2.709265416374564417e-01 7.582980017988190380e-02 4.286151186100247701e-01 2.638610510259158937e-01 9.898473796479527465e-02 1.341829205553998206e-01 1.077693371980423531e-01 2.660197331227383555e-01 1.973457667152767880e-01 2.084261290812359502e-01 3.360143238269611698e-01 8.099202039229562444e-02 2.469917642267112079e-01 2.707938874513183269e-01 3.428234524659585780e-01 7.012279896498445353e-02 1.096679406348812919e-01 1.434480003357754552e-01 3.463672692087557126e-01 2.328834093512238412e-01
5.707925024259737426e-03 1.445700076752396042e-02 8.180632875546554883e-02 9.197804440373656340e-03 1.181473760269273615e-01 1.021121130835753593e-01 1.330323760410398182e-01 2.753376006488767944e-02 1.097909386048531721e-01 9.400112234097911246e-02 1.113980200517213082e-01 6.888498302090073633e-02 1.324223401325109739e-01 1.197068252988403858e-01 7.200881291997552128e-03 8.827107312018157848e-02 1.277598826581032715e-02 1.427558973766318295e-01 7.916983108149237836e-02 2.150018530994840874e-02 8.852075461716953780e-03 3.283627265395741568e-02 1.162889307410021889e-01 6.982402314701567636e-02 8.828377314371475826e-02 1.490597564052738300e-01 6.580684789918030131e-03 9.213443207243365851e-02 1.322607548318041892e-01 9.128511008649183023e-02 3.570313772479979247e-02 4.196639907986969564e-02 3.244111682635839738e-02 1.243857239321841668e-01 1.195562005991306909e-01
1.147153379089858316e-01 8.506355078478315679e-02 2.221885116246365977e-01 1.263346796130109251e-01 2.493483073055453580e-01 3.098952619532860386e-01 3.012508461884902955e-01 8.642598422442102080e-02 2.701893111035014172e-01 2.540632462477813158e-01 3.171581657175333024e-01 2.118311887226622114e-01 3.229100646015741205e-01 2.441312665752173872e-01 8.461972390817895651e-02 3.041529101054262219e-01 6.027743450033114930e-02 4.383000813882076407e-01 2.234736334895584542e-01 7.506039153220199489e-02 7.535766511561259318e-02 7.573654529612439124e-02 2.564029898926051265e-01 2.363778803063506795e-01 2.693967596969886746e-01 4.254358523569728989e-01 1.031293385109494504e-01 2.606700018555000997e-01 3.356475905526175030e-01 3.419822108301106001e-01 7.214422096335054713e-02 1.054928004059644819e-01 5.563326095881836186e-02 2.894738622206943224e-01 2.528475881755649080e-01
5.842041359407507128e-02 6.443492909524251022e-02 1.096298227520395852e-01 6.110061733992677713e-02 1.391853279678403887e-01 2.565498447120908021e-01 2.425619483203202975e-01 5.349095844914963926e-02 1.729839412496749496e-01 1.650870595086256498e-01 2.115847362784266383e-01 1.597552066256766046e-01 1.709049900718763726e-01 1.583368364424081465e-01 5.122319535693787423e-02 1.751625054441443563e-01 3.442444630252822213e-02 3.259556817064238055e-01 1.798881071409159926e-01 3.220057107955039133e-02 6.021716468810411893e-02 7.380697351307508036e-02 1.940932636362903141e-01 1.548686145755837074e-01 2.184578225279805441e-01 2.770324065873287500e-01 6.266913341270242965e-02 1.670310228872376179e-01 2.035326527455560974e-01 2.201945216175468789e-01 6.552407911530282181e-02 6.542831090817460837e-02 1.129259097321142456e-02 1.931313195992896692e-01 2.302624475815430449e-01
4.336130233916288268e-02 5.978053881604952768e-02 1.088196105599265467e-01 1.116589309041176314e-01 1.257353014325991725e-01 1.100742483882709843e-01 7.356829380843306343e-02 1.442767559448010495e-02 1.455824332114835362e-01 1.220717008843994755e-01 1.549995853238153032e-01 7.328618152332881663e-02 1.026691798930309957e-01 1.144747464166591955e-01 4.190529307058634551e-02 1.268234486421631335e-01 5.027083803408831375e-02 1.941742820290971727e-01 1.286310953815104907e-01 2.042932759299917814e-02 2.376593718424888785e-02 3.079357094984958715e-02 1.193632467947503967e-01 1.174080343227559275e-01 7.435140775890779208e-02 1.790659036091060419e-01 5.133383115788072576e-02 1.284623602955035915e-01 1.485527552828300457e-01 1.212800329234060281e-01 5.293573548515281141e-02 2.280888380612306268e-02 3.620190039010255656e-02 3.546442136383013422e-01 1.268404618699117414e-01
# length ll pi_a pi_c pi_g pi_t kappa omega tau (N0,N1) (N0,kluyveri) (N1,N2) (N1,castellii) (N2,N3) (N2,bayanus) (N3,N4) (N3,kudriavzevii) (N4,N5) (N4,mikatae) (N5,cerevisiae) (N5,paradoxus)
