# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
2.865813423476464838e-01 2.244585331024082364e-01 3.674074265690400187e-01 3.704205981490868438e-01 3.597719575030246530e-01 3.497359851263746044e-01 2.882472125053373579e-01 3.480447143321978021e-01 3.625670458474878344e-01 3.530858891402300914e-01 3.662686533403186062e-01 3.531874264115730799e-01 3.575020771794473751e-01 1.818378001753474527e-01 3.584003683186502420e-01 3.393091650219633437e-01 3.673762202516328568e-01 1.949643053262857251e-01 2.255368200036578508e-01 2.575195692641745193e-01 3.562670608153117868e-01 3.641377304077716426e-01 3.653110022948179436e-01 3.478509561289693797e-01 2.390515978801741881e-01 3.706536626432572756e-01 3.469952531065156887e-01 3.571943300937993060e-01 2.583920021477356110e-01 3.401037836369069645e-01 3.509777049716746311e-01
6.780779961194638439e-02 1.037184625983905845e-01 1.023916783845390532e-01 1.032339235904082414e-01 1.002563762861145014e-01 9.747687688382675186e-02 1.553008019394243877e-01 9.701061721655503123e-02 1.010487272059335390e-01 9.841314531033806823e-02 1.020594407810903603e-01 9.843757087028126573e-02 9.961457576644200396e-02 7.839977863447390727e-02 9.989706294035402556e-02 9.457978551740940654e-02 1.023404288226624353e-01 8.436022410265957283e-02 7.520418891342157963e-02 1.121735347860985943e-01 9.930445436452484120e-02 1.014950104808735598e-01 1.018127224914872064e-01 9.695239309187198007e-02 1.046404988672118008e-01 1.033135240712647895e-01 9.672128886328186514e-02 9.955664858311852328e-02 9.211410989517296311e-02 9.479985706320916139e-02 9.782459775229565557e-02
1.737673205380317887e-01 2.198348060126177894e-01 2.189990368251309161e-01 2.207827621837789578e-01 2.144840286868569534e-01 2.084166328636280763e-01 2.655852109223459934e-01 2.073835909573378267e-01 2.160844238887567603e-01 2.104001674443274350e-01 2.183930925837690440e-01 2.104797027052064395e-01 2.131761125141738433e-01 1.800395332640820356e-01 2.135539879899848448e-01 2.021586690066904668e-01 2.191883393665899071e-01 1.782595226529281318e-01 1.634903021092153907e-01 2.228977021377642753e-01 2.122729753054939661e-01 2.169786547243910679e-01 2.177234851958925466e-01 2.072888605009023943e-01 2.197861704544744055e-01 2.208497652069747186e-01 2.067425930343778084e-01 2.128562695258579829e-01 2.089156124262585290e-01 2.026390920271955998e-01 2.091485802811798578e-01
1.950469107626449927e-02 2.852192117654817061e-02 2.616934582818914237e-02 2.638322332709701692e-02 2.562767303570737121e-02 2.490770585315030955e-02 2.754813924245759493e-02 2.478573742658282328e-02 2.582280784829070128e-02 2.514551176940275565e-02 2.609261189997654634e-02 2.515389053454495510e-02 2.546870305212821373e-02 2.011984713362321292e-02 2.552320415155759359e-02 2.416244541840729260e-02 2.617958577024944930e-02 1.842712863041843022e-02 1.351297970327661538e-02 1.785666176485460957e-02 2.537068617053092612e-02 2.593215055719621034e-02 2.601846156805744104e-02 2.477318926885755182e-02 2.831267817672630110e-02 2.639548782494507972e-02 2.471005454791278672e-02 2.543857826400343358e-02 2.851105082677664673e-02 2.421945316180436347e-02 2.499565540945827835e-02
1.059595209260854043e-01 1.161163434142272188e-01 1.166073584405918906e-01 1.175488385933707303e-01 1.142276524007424798e-01 1.109397559798012967e-01 1.102844089829216195e-01 1.103729737407828093e-01 1.150356966828232352e-01 1.119870221339894084e-01 1.163336518026786559e-01 1.120421318349251877e-01 1.135615367477318394e-01 1.016397546296081145e-01 1.136569250496307915e-01 1.075788834892810741e-01 1.168479105439274857e-01 9.389929855026854510e-02 8.828611319579382499e-02 1.107241673516656810e-01 1.129685209409691110e-01 1.154836442435175081e-01 1.159107627044053679e-01 1.103364674090304420e-01 1.151456715872625769e-01 1.175362411357099429e-01 1.100213041710959572e-01 1.132996209427394874e-01 1.168015025310855520e-01 1.078392349639864661e-01 1.113239825288841744e-01
1.518001447599671462e-02 2.114003625604504027e-02 1.684274547189177143e-02 1.697995837129977550e-02 1.649541521100345715e-02 1.602899523520886702e-02 8.704351635058846584e-03 1.594960565803765079e-02 1.661866111180421851e-02 1.618157631760069881e-02 1.679595945252755629e-02 1.618764759093711120e-02 1.639471068826614530e-02 1.363539158441883642e-02 1.642416309654856979e-02 1.554781023208252379e-02 1.685675890486555695e-02 1.828380820782953692e-02 1.180844088329430566e-02 1.937264921656161112e-02 1.632566536022444711e-02 1.668753549160778213e-02 1.674470931277118740e-02 1.594227068754808241e-02 1.643080849966934570e-02 1.698528468894327029e-02 1.590034425065743259e-02 1.637045266547014141e-02 2.457461262754752351e-02 1.558474267761269204e-02 1.608530740817541715e-02
8.645482984982089114e-02 8.759442223767904823e-02 9.043801261240275169e-02 9.116561526627370293e-02 8.859997936503509475e-02 8.603205012665102180e-02 8.273626974046398297e-02 8.558723631419996869e-02 8.921288883453251661e-02 8.684151036458664930e-02 9.024103990270214426e-02 8.688824130038022564e-02 8.809283369560362564e-02 8.151990749598490849e-02 8.813372089807318399e-02 8.341643807087376072e-02 9.066832477367804677e-02 7.547216991985013224e-02 7.477313349251722696e-02 9.286750558681107492e-02 8.759783477043819877e-02 8.955149368632130125e-02 8.989230113634791297e-02 8.556327814017289368e-02 8.683299341053629661e-02 9.114075331076484932e-02 8.531124962318314964e-02 8.786104267873606766e-02 8.829045170430890876e-02 8.361978180218207490e-02 8.632832711942589610e-02
1.432493148417332204e-02 1.282336421518463776e-02 1.588934047695686816e-02 1.595338153404517872e-02 1.575368444103226323e-02 1.486095285782602568e-02 3.625672715501208204e-02 1.465323844219765595e-02 1.552167531202123738e-02 1.493446213391317647e-02 1.623075787196072775e-02 1.504140373005687786e-02 1.589695166802666468e-02 1.321505325774410648e-02 1.508893875708214663e-02 1.417834693131771011e-02 1.530200746545858949e-02 1.593403668637645432e-02 1.300033712249625689e-02 2.009007069850850258e-02 1.494576814113378165e-02 1.536311406038230569e-02 1.565909718336595119e-02 1.475693248475420938e-02 1.037259279970044641e-02 1.557570965666527085e-02 1.452435077914975003e-02 1.515100042187481066e-02 1.947546576314215794e-02 1.413884831836921714e-02 1.487042653102936714e-02
7.127481537382419907e-02 6.645438598163401489e-02 7.359526714051098373e-02 7.418565689497394477e-02 7.210456415403163066e-02 7.000305489144213744e-02 7.403191810540517281e-02 6.963763065616232484e-02 7.259422772272833280e-02 7.065993404698593661e-02 7.344508045017457409e-02 7.070059370944310750e-02 7.169812300733748034e-02 6.788451591156606513e-02 7.170955780152460379e-02 6.786862783879124561e-02 7.381156586881246207e-02 5.718836171202058838e-02 6.296469260922291089e-02 7.349485637024948115e-02 7.127216941021373431e-02 7.286395819471351565e-02 7.314759182357671863e-02 6.962100745262482515e-02 7.040218491086694397e-02 7.415546862182161025e-02 6.941090537252569970e-02 7.149059001326592278e-02 6.371583907676138525e-02 6.803503912456940195e-02 7.024301971125049282e-02
5.694988388965088744e-02 5.363102176644936325e-02 5.770592666355411210e-02 5.823227536092874523e-02 5.635087971299936743e-02 5.514210203361611523e-02 3.777519095039307689e-02 5.498439221396466542e-02 5.707255241070708501e-02 5.572547191307274800e-02 5.721432257821385675e-02 5.565918997938624352e-02 5.580117133931081913e-02 5.466946265382199160e-02 5.662061904444246063e-02 5.369028090747355458e-02 5.850955840335388125e-02 4.125432502564414100e-02 4.996435548672664012e-02 5.340478567174097857e-02 5.632640126907995787e-02 5.750084413433122210e-02 5.748849464021078826e-02 5.486407496787059496e-02 6.002959211116647847e-02 5.857975896515633246e-02 5.488655459337594966e-02 5.633958959139110517e-02 4.424037331361922037e-02 5.389619080620016572e-02 5.537259318022109966e-02
5.694988388965088744e-02 5.363102176644936325e-02 5.770592666355411210e-02 5.823227536092874523e-02 5.635087971299936743e-02 5.514210203361611523e-02 3.777519095039307689e-02 5.498439221396466542e-02 5.707255241070708501e-02 5.572547191307274800e-02 5.721432257821385675e-02 5.565918997938624352e-02 5.580117133931081913e-02 5.466946265382199160e-02 5.662061904444246063e-02 5.369028090747355458e-02 5.850955840335388125e-02 4.125432502564414100e-02 4.996435548672664012e-02 5.340478567174097857e-02 5.632640126907995787e-02 5.750084413433122210e-02 5.748849464021078826e-02 5.486407496787059496e-02 6.002959211116647847e-02 5.857975896515633246e-02 5.488655459337594966e-02 5.633958959139110517e-02 4.424037331361922037e-02 5.389619080620016572e-02 5.537259318022109966e-02
# length ll pi_a pi_c pi_g pi_t kappa omega tau (N0,N1) (N0,kluyveri) (N1,N2) (N1,castellii) (N2,N3) (N2,bayanus) (N3,N4) (N3,kudriavzevii) (N4,N5) (N4,mikatae) (N5,cerevisiae) (N5,paradoxus)
