# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YPR159W_YGR143W YGL133W_YPL216W YBR191W_YPL079W YER074W_YIL069C YNL049C_YIL109C YPL232W_YMR183C YLR284C_YOR180C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
2.214124078186355607e-02 2.809024837416240761e-02 4.763831569008614847e-02 7.787389834870413197e-02 1.545391945840539905e-01 2.616030106586343384e-01 4.472717802016806798e-02 3.042214531266618227e-01 1.143676793689128585e-01 2.177657525067337729e-01 6.522525341330850934e-02 2.334642853277668628e-01 1.586891318972573905e-01 1.422043176298613265e-01 2.709599689664277111e-01 3.025885213119324652e-02 1.261247187715106293e+02 1.881289469192110875e-01 1.625742141037523625e-01 3.324502378117431545e-01 3.291415521295066871e-01 1.607456437209236477e-01 3.552667355108498237e-14 4.353933074910845966e-16 3.344698818896952308e-01 2.409208447595359570e-01
5.632209293973342024e-02 6.344593892991726158e-02 1.298097761900768587e-01 1.794775899582279621e-01 2.600052080935744137e-01 3.690417161113777045e-01 8.040266961917026667e-02 4.184336727599714534e-01 2.073775808727816305e-01 3.341436537378895122e-01 1.361222540186033947e-01 3.584521740542313539e-01 2.392305785991883649e-01 2.508994583106672338e-01 4.389962678635957460e-01 5.766506194518517675e-02 1.261304450848583230e+02 2.950101398063114111e-01 2.603603624473230238e-01 4.733455522341509791e-01 4.523295589935009131e-01 2.817975704162117290e-01 3.552828653279816412e-14 4.354130752141155827e-16 4.763118209884485976e-01 3.644129398737278591e-01
6.465083462743951605e-03 9.170458734872906706e-03 1.437833210635215513e-02 1.753063017503526597e-02 1.565067699611093904e-02 1.825203004323983427e-02 8.828265291561457340e-03 1.808781077158818848e-02 1.419744877592027214e-02 1.770312125569772910e-02 1.407608890050260179e-02 2.031820557549303408e-02 9.143571722948195743e-03 2.288552251885537028e-02 2.229740417703655192e-02 4.660599438693706006e-03 0.000000000000000000e+00 1.144042607078863370e-02 1.733228889904421186e-02 1.419200490929620195e-02 2.036835354344560325e-02 2.335285307054526041e-02 1.612908483913986372e-18 1.976682557915121013e-20 2.452725007578630129e-02 2.472300864187249730e-02
3.418085215786986764e-02 3.535569055575485398e-02 8.217146049999073110e-02 1.016036916095238163e-01 1.054660135095204093e-01 1.074387054527433522e-01 3.567549159900218481e-02 1.142122196333096584e-01 9.300990150386877209e-02 1.163779012311556837e-01 7.089700060529488534e-02 1.249878887264644634e-01 8.054144670193098821e-02 1.086951406808059073e-01 1.680362988971679794e-01 2.740620981399191289e-02 5.726313347763525678e-03 1.068811928871003097e-01 9.778614834357063357e-02 1.408953144224078247e-01 1.231880068639942538e-01 1.210519266952881506e-01 1.612981713170478708e-18 1.976772303238838151e-20 1.418419390987534501e-01 1.234920951141918882e-01
4.903226486745272672e-03 6.228323238065410286e-03 1.613401222010772684e-02 2.247035586612946070e-02 2.123231834154125364e-02 1.613893319786350797e-02 3.201776099317474745e-03 2.454436032378786228e-02 1.532664254466376517e-02 2.345768038607501382e-02 1.019341010997597968e-02 2.950804854475386207e-02 8.110775089129490870e-03 1.855012409090852493e-02 3.351144858526058229e-02 6.827763992931608177e-03 3.466867859081121557e-04 2.655977091037416832e-02 1.690099938168016652e-02 2.965583590041639267e-02 2.108806765645314732e-02 1.709757017260219933e-02 7.322593188301090749e-23 8.973750808258712690e-25 2.276339611717686368e-02 2.390586765451227155e-02
2.771576869512593078e-02 2.618523182088193860e-02 6.779312839363854648e-02 8.407306143448856073e-02 8.981533651340947721e-02 8.918667540950353523e-02 2.684722630744073787e-02 9.612440886172148036e-02 7.881245272794848433e-02 9.867477997545796853e-02 5.682091170479228182e-02 1.046696831509714293e-01 7.139787497898279767e-02 8.580961816195055436e-02 1.457388947201314344e-01 2.274561037529821209e-02 5.726313347763525678e-03 9.544076681631166736e-02 8.045385944452643212e-02 1.267033095131116227e-01 1.028196533205486124e-01 9.769907362474286594e-02 7.322925648611222202e-23 8.974532372346929290e-25 1.173146890229671557e-01 9.876908647231942562e-02
4.844165199498058801e-03 3.717519489536836273e-03 2.139021389687338626e-02 2.563073525382167719e-02 2.639291542894332127e-02 2.994734887342442517e-02 1.132878174962465012e-02 2.804643485574482425e-02 2.362358613731092849e-02 2.710319761650324330e-02 1.622007574699229487e-02 3.582597731348550335e-02 2.605372066646893109e-02 2.547787465401129062e-02 3.839729609789298975e-02 7.224067807923802327e-03 5.378636282853595588e-03 2.634655196843259384e-02 2.296144581813180235e-02 3.753171609976325290e-02 3.311728198944862561e-02 2.917028996654496761e-02 3.324452164281195459e-27 7.382611031790798085e-29 2.518808106404296643e-02 2.662256672626451409e-02
2.281254220838065463e-02 1.995690858281653005e-02 5.165911617353084045e-02 6.160270556835910349e-02 6.858301817186823746e-02 7.304774221164003767e-02 2.364545020812326009e-02 7.158004853793360767e-02 6.348581018328472436e-02 7.521709958938295471e-02 4.662750159481631601e-02 7.516163460621756720e-02 6.328709988985327384e-02 6.725949407104200861e-02 1.122274461348708591e-01 1.591784638236660651e-02 5.379626561855408752e-03 6.888099590593751986e-02 6.355286006284628642e-02 9.704747361269522310e-02 8.173158566409548242e-02 8.060150345214066314e-02 3.324603101028482889e-27 7.815640881994897276e-29 9.455129290579028511e-02 7.486321881780715060e-02
1.796837700888258976e-02 1.623938909327968597e-02 3.026890227665744726e-02 3.597197031453741589e-02 4.219010274292491619e-02 4.310039333821559515e-02 1.231666845849860130e-02 4.353361368218879729e-02 3.986222404597378893e-02 4.811390197287971487e-02 3.040742584782400726e-02 3.933565729273208467e-02 3.723337922338435663e-02 4.178161941703072840e-02 7.383015003697786238e-02 8.693778574442801582e-03 9.902790018154532560e-07 4.253444393750490521e-02 4.059141424471447712e-02 5.951575751293197714e-02 4.861430367464685681e-02 5.143121348559570594e-02 1.509367472748313958e-31 4.330298502040495844e-30 6.936321184174730481e-02 4.824065209154263650e-02
1.796837700888258976e-02 1.623938909327968597e-02 3.026890227665744726e-02 3.597197031453741589e-02 4.219010274292491619e-02 4.310039333821559515e-02 1.231666845849860130e-02 4.353361368218879729e-02 3.986222404597378893e-02 4.811390197287971487e-02 3.040742584782400726e-02 3.933565729273208467e-02 3.723337922338435663e-02 4.178161941703072840e-02 7.383015003697786238e-02 8.693778574442801582e-03 9.902790018154532560e-07 4.253444393750490521e-02 4.059141424471447712e-02 5.951575751293197714e-02 4.861430367464685681e-02 5.143121348559570594e-02 1.509367472748313958e-31 4.330298502040495844e-30 6.936321184174730481e-02 4.824065209154263650e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
# length ll pi_a pi_c pi_g pi_t kappa tau (N0,N1) (N0,kluyveri) (N1,N2) (N1,castellii) (N2,N3) (N2,bayanus) (N3,N4) (N3,kudriavzevii) (N4,N5) (N4,mikatae) (N5,cerevisiae) (N5,paradoxus) (N0,N1,tau) (N0,kluyveri,tau) (N1,N2,tau) (N1,castellii,tau) (N2,N3,tau) (N2,bayanus,tau) (N3,N4,tau) (N3,kudriavzevii,tau) (N4,N5,tau) (N4,mikatae,tau) (N5,cerevisiae,tau) (N5,paradoxus,tau)
