# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YBR024W_YBR037C YPL037C_YDR252W YPR159W_YGR143W YGL133W_YPL216W YBR191W_YPL079W YNL049C_YIL109C YPL232W_YMR183C YLR284C_YOR180C YIR033W_YKL020C YMR243C_YOR316C YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
2.214124078186355607e-02 2.809024837416240761e-02 4.763837787960412823e-02 7.787389834870413197e-02 1.545391982313466805e-01 2.616030106586343384e-01 4.472960346049997815e-02 3.042203448598470583e-01 1.143676793689128585e-01 2.177650947133749348e-01 2.334642853277668628e-01 1.586962432157636715e-01 1.422044591564903260e-01 2.709594856378929606e-01 3.025885213119324652e-02 1.881289469192110875e-01 1.625741560987464807e-01 3.324502378117431545e-01 3.291415521295066871e-01 1.607456437209236477e-01 4.378653674162589137e-16 3.344703997868044842e-01 2.409215580054462624e-01
5.632209293973342024e-02 6.344593892991726158e-02 1.298099936109577135e-01 1.794775899582279621e-01 2.600052761677890678e-01 3.690417161113777045e-01 8.040433568779627171e-02 4.184325065714009084e-01 2.073775808727816305e-01 3.341441873320100120e-01 3.584521740542313539e-01 2.392375709209153545e-01 2.508962748185197822e-01 4.389953520632385864e-01 5.766506194518517675e-02 2.950101398063114111e-01 2.603603707084876651e-01 4.733455522341509791e-01 4.523295589935009131e-01 2.817975704162117290e-01 4.378852473757323387e-16 4.763123798427513766e-01 3.644139147114978661e-01
6.465083462743951605e-03 9.170458734872906706e-03 1.437874705250724930e-02 1.753063017503526597e-02 1.565076949597837136e-02 1.825203004323983427e-02 8.828304096782656901e-03 1.808706444674685124e-02 1.419744877592027214e-02 1.770269283014506978e-02 2.031820557549303408e-02 9.144355313592917103e-03 2.288394816617545305e-02 2.229695123605909129e-02 4.660599438693706006e-03 1.144042607078863370e-02 1.733245578091428471e-02 1.419200490929620195e-02 2.036835354344560325e-02 2.335285307054526041e-02 1.987905692612277902e-20 2.452753827590908181e-02 2.472317788829427390e-02
3.418085215786986764e-02 3.535569055575485398e-02 8.217161573135356445e-02 1.016036916095238163e-01 1.054660779364424011e-01 1.074387054527433522e-01 3.567473222729628662e-02 1.142121617115538224e-01 9.300990150386877209e-02 1.163790926186350771e-01 1.249878887264644634e-01 8.054132770515164130e-02 1.086918156620294285e-01 1.680358664253457091e-01 2.740620981399191289e-02 1.068811928871003097e-01 9.778621460974121216e-02 1.408953144224078247e-01 1.231880068639942538e-01 1.210519266952881506e-01 1.987995947488655192e-20 1.418419800559468369e-01 1.234923567060516592e-01
4.903226486745272672e-03 6.228323238065410286e-03 1.613401352564717769e-02 2.247035586612946070e-02 2.123226431083765145e-02 1.613893319786350797e-02 3.200802355129212483e-03 2.454423257661991764e-02 1.532664254466376517e-02 2.345744080714173840e-02 2.950804854475386207e-02 8.116261948320865893e-03 1.854920271040712623e-02 3.351163588428684309e-02 6.827763992931608177e-03 2.655977091037416832e-02 1.690085132568182671e-02 2.965583590041639267e-02 2.108806765645314732e-02 1.709757017260219933e-02 9.024703657448488399e-25 2.276314704324086668e-02 2.390606907556959773e-02
2.771576869512593078e-02 2.618523182088193860e-02 6.779286867884631862e-02 8.407306143448856073e-02 8.981530844046403672e-02 8.918667540950353523e-02 2.684642813051363319e-02 9.612509726480698846e-02 7.881245272794848433e-02 9.867639978848999349e-02 1.046696831509714293e-01 7.139697239155873287e-02 8.580786749585397888e-02 1.457389151892865831e-01 2.274561037529821209e-02 9.544076681631166736e-02 8.045375882882689622e-02 1.267033095131116227e-01 1.028196533205486124e-01 9.769907362474286594e-02 9.025487638408948312e-25 1.173144417800377481e-01 9.876917881775738872e-02
4.844165199498058801e-03 3.717519489536836273e-03 2.139003005719214423e-02 2.563073525382167719e-02 2.639296741817536915e-02 2.994734887342442517e-02 1.132956671948569076e-02 2.804829999753187877e-02 2.362358613731092849e-02 2.710430944437060979e-02 3.582597731348550335e-02 2.604977212680063478e-02 2.547769323031617156e-02 3.839716931034162228e-02 7.224067807923802327e-03 2.634655196843259384e-02 2.296172657161615199e-02 3.753171609976325290e-02 3.311728198944862561e-02 2.917028996654496761e-02 7.406100754245952420e-29 2.518804133996686845e-02 2.662260837378583808e-02
2.281254220838065463e-02 1.995690858281653005e-02 5.165885515319913746e-02 6.160270556835910349e-02 6.858304412962637486e-02 7.304774221164003767e-02 2.364562577538441637e-02 7.158086468818707082e-02 6.348581018328472436e-02 7.521895898134826897e-02 7.516163460621756720e-02 6.328071044323785310e-02 6.725866478544685612e-02 1.122272793049997192e-01 1.591784638236660651e-02 6.888099590593751986e-02 6.355290750314505910e-02 9.704747361269522310e-02 8.173158566409548242e-02 8.060150345214066314e-02 7.839809604811292800e-29 9.455129473679689533e-02 7.486310974218775283e-02
1.796837700888258976e-02 1.623938909327968597e-02 3.026882509600698629e-02 3.597197031453741589e-02 4.219007671145100918e-02 4.310039333821559515e-02 1.231605905589871520e-02 4.353256469065518164e-02 3.986222404597378893e-02 4.811464953697765917e-02 3.933565729273208467e-02 3.723093831643722873e-02 4.178097155513067762e-02 7.383010999465811075e-02 8.693778574442801582e-03 4.253444393750490521e-02 4.059118093152892098e-02 5.951575751293197714e-02 4.861430367464685681e-02 5.143121348559570594e-02 4.337088505652615562e-30 6.936325339683004076e-02 4.824050136840193209e-02
1.796837700888258976e-02 1.623938909327968597e-02 3.026882509600698629e-02 3.597197031453741589e-02 4.219007671145100918e-02 4.310039333821559515e-02 1.231605905589871520e-02 4.353256469065518164e-02 3.986222404597378893e-02 4.811464953697765917e-02 3.933565729273208467e-02 3.723093831643722873e-02 4.178097155513067762e-02 7.383010999465811075e-02 8.693778574442801582e-03 4.253444393750490521e-02 4.059118093152892098e-02 5.951575751293197714e-02 4.861430367464685681e-02 5.143121348559570594e-02 4.337088505652615562e-30 6.936325339683004076e-02 4.824050136840193209e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00
# length ll pi_a pi_c pi_g pi_t kappa tau (N0,N1) (N0,kluyveri) (N1,N2) (N1,castellii) (N2,N3) (N2,bayanus) (N3,N4) (N3,kudriavzevii) (N4,N5) (N4,mikatae) (N5,cerevisiae) (N5,paradoxus) (N0,N1,tau) (N0,kluyveri,tau) (N1,N2,tau) (N1,castellii,tau) (N2,N3,tau) (N2,bayanus,tau) (N3,N4,tau) (N3,kudriavzevii,tau) (N4,N5,tau) (N4,mikatae,tau) (N5,cerevisiae,tau) (N5,paradoxus,tau)
